Numéros	Dates	Heures	Lieux	Dept ou pays	Cotes archives du dossier	Détails sommaires de l'observation	Média	Consultation
1	1861,07,07	23:10:00	Gaillon	27	18610707	Bolides dans le ciel Gaillonnais, trajectoire étrange	 	Base ARCADIA
2	1947,08,00	 	St Aubin sur Gaillon*	27	470800	mini tornade dans un champ pendant la moisson	 	Base ARCADIA
3	1949,10,18	17:30:00	Yvetot *	76	491018	RR2 cigare rouge	 	Base ARCADIA
4	1952,10,00	22:00:00	Gailloncelle*	27	521000	objet en forme de tricorne + trois feux multicolore, stationnaire	 	Base ARCADIA
5	1975,07,00	02:00:00	Neuchatel en Braye	76	BO26642	Sphère verte fluo rebodissante	 	Base ARCADIA
6	1979,09,19	23:00:00	Aubevoye	57	790919	Ovoïde allongé avec 1 faisceau blanc	 	Base ARCADIA
7	1983 été	13:00:00	Laverlochère*	Quebec	830800	Objet rond avec un bruit sourd	 	Base ARCADIA
8	1984,07,00	19:30:00	Elbeuf	76	840700b	Etoile à 5 branches jaune descedant vers les sol	 	Base ARCADIA
9	1984,07,00	21:00:00	Elbeuf	76	840700	Boule feu incandescente rouge vif	 	Base ARCADIA
10	0000,11,00	19:00:00	Elbeuf	76	1100	Cigare au dessus de l'immeuble du témoin	 	Base ARCADIA
11	1985,10,00	23:15:00	Elbeuf	76	851000	boule changeant de forme: triangulaire, carré	 	Base ARCADIA
12	1993,08,00	 	Ailly	27	930800	anneau trace circulaire dans un champ	 	Base ARCADIA
13	1993,04,25	05:00:00	RN15 (27) Pt de l'Arche	27	BO26662	Echiquier tournant à perte de vue	 	Base ARCADIA
14	1994,01,04	23:50:00	Bacqueville	27	940104	Objet conique multicolor en rotation sur lui même au dessus d'un champ, reaction animal	 	Base ARCADIA
15	1994,01,07	01:00:00	Bacqueville	27	940104	bruit, vrombissemnt étrange + lumière bizard	 	Base ARCADIA
16	1994,01,17	20:15:00	Bacqueville	27	940104	étoile en rotation ce scindant en 2+ trainée	 	Base ARCADIA
17	1994,01,19	 	Bacqueville	27	940104	trois boules jaunes symetriques dans le ciel/trajectoire rectiligne	 	Base ARCADIA
18	1994,03,31	04:30:00	Vitry sur Seine (94)	94	940331	forme discoïdale au dessus de l'éroport d'Orly	 	Base ARCADIA
19	1994,06,17	23:00:00	D100 Roche Guyon (27-95)	27	940818	Clarté pulsante montant rouge vif, demi cercle	 	Base ARCADIA
20	1994,08,20	00:00:00	Houlbec Cocherel	27	940820	Gerbe d'étincelles, eclair, trainée	 	Base ARCADIA
21	1994,08,17	10:00:00	St Symphorien	27	940817	Cigare blanc rapide	 	Base ARCADIA
22	1994,07,00	02:30:00	Le Mesnil Esnard	76	BO26644	Boule blanche 10cm abdb	 	Base ARCADIA
23	1994,08,01	00:45:00	La Roche Guyon	95	940801	Losange rapide, 4 feux: 3 blancs et 1 rouge + multitude de petites lumières au centre	 	Base ARCADIA
24	1994,08,14	00:30:00	Reville	50	940815	sphère lumineuse blanche se scindant en 2	 	Base ARCADIA
25	1994,08,19	22:30:00	Gaillon	27	940819	sphère lumineuse blanche se scindant en 2	 	Base ARCADIA
26	1994,08,31	22:15:00	Gaillon	27	940831	2 boules lumineuses blanches suivies par un avion	 	Base ARCADIA
27	1994,09,07	23:00:00	La Roche Guyon	95	940907	Boule lumineuse type Venus stationnaire sur CE de Porcheville	 	Base ARCADIA
28	1994,09,00	 	Emainville	27	940900	Faisceaux tournoyant vaporeux (possible méprise)	 	Base ARCADIA
29	1994,10,01	18:55:00	Evreux	27	941001b	Boule orangé stationnaire pendant 15"/HA 45° survol BA105	 	Base ARCADIA
30	1994,10,01	18:15:00	St Sulpice sur Risle	61	941001	grosse étoile scintillante pendant 5"	 	Base ARCADIA
31	1994,10,04	22:55:00	Gaillon	27	941004	Boule orangée brilante non pulsante, vol horizontal lent	 	Bureau des Affaires Non-Classées
32	1994,10,05	01:50:00	Gaillon	27	941005	3 objets volant à egale distance en vol rectiligne	 	Bureau des Affaires Non-Classées
33	1994,10,05	20:20:00	Fontaine Bellenger (27)	27	BO26652	Structure massive (fuselage) stationnaire pendant 4 min	 	Bureau des Affaires Non-Classées
